0.00	15.00	l
15.00	30.00	m
30.00	45.00	m
45.00	60.00	m
60.00	75.00	m
75.00	90.00	m
90.00	105.00	m
105.00	120.00	m
120.00	135.00	m
135.00	150.00	l
150.00	165.00	m
165.00	180.00	h
180.00	195.00	m
195.00	210.00	m
210.00	225.00	h
225.00	240.00	h
240.00	255.00	l
255.00	270.00	l
270.00	285.00	h
285.00	300.00	m
300.00	315.00	l
315.00	330.00	m
330.00	345.00	h
345.00	360.00	m
360.00	375.00	m
375.00	390.00	m
390.00	405.00	m
405.00	420.00	h
420.00	435.00	l
435.00	450.00	m
450.00	465.00	l
465.00	480.00	m
480.00	495.00	m
495.00	510.00	m
510.00	525.00	m
525.00	540.00	h
540.00	555.00	m
555.00	570.00	m
570.00	585.00	l
585.00	600.00	m
600.00	615.00	l
615.00	630.00	h
630.00	645.00	m
645.00	660.00	m
660.00	675.00	l
675.00	690.00	m
690.00	705.00	m
705.00	720.00	m
720.00	735.00	m
735.00	750.00	m
750.00	765.00	m
765.00	780.00	l
780.00	795.00	l
